Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czym jest ngOnDestroy i dlaczego jest ważny?;ngOnDestroy jest opcjonalny i rzadko używany;ngOnDestroy wywoływany gdy komponent niszczony. Cleanup subskrypcje, timer'y, event listener'y - unikam memory leak'ów. implements OnDestroy;ngOnDestroy automatycznie unsubscribe wszystkie Observable;ngOnDestroy to tylko dla debugowania;1
Czym się różnią Subject, BehaviorSubject, ReplaySubject, AsyncSubject?;Wszystkie są identyczne;Subject bez initial value. BehaviorSubject ma initial i new subscribers dostają ostatnią. ReplaySubject bufferuje wartości. AsyncSubject tylko ostatnia gdy complete;Tylko Subject i BehaviorSubject istnieją;Observable jest lepszy od wszystkich Subject'ów;1
Czy muszę odsubskrybować od Observable HTTP?;Tak zawsze, HTTP nie unsubscribe automatycznie;Nie - HTTP Observable'e automatically complete po fetch. takeUntil(destroy$) dla manual. Angular obsługuje unsubscription ale dobra praktyka kontrolować;Nigdy nie subskrybuj, używaj async pipe zawsze;Observable HTTP wymaga manual unsubscribe inaczej memory leak;1
Jaka jest kolejność Lifecycle Hooks?;ngOnInit pierwszy zawsze;constructor, ngOnChanges, ngOnInit, ngDoCheck, ngAfterContentInit, ngAfterContentChecked, ngAfterViewInit, ngAfterViewChecked, ngOnDestroy. Dokładna kolejność;Kolejność losowa i zależy od platformy;Tylko 3 hooks: ngOnInit, ngOnChanges, ngOnDestroy;1
Kiedy mogę manipulować DOM w komponencie?;W constructor zawsze;W ngOnInit jest bezpieczne;ngAfterViewInit gdy template i view queries ready: this.viewChild.nativeElement.focus();. Przed tym undefined. Minimalizuj DOM manipulation;Nigdy, Angular nie pozwala na DOM manipulation;2
Co to jest Change Detection i jak działa?;Change Detection to process garbage collection;Change Detection sprawdza czy dane zmieniły się i update DOM. Default sprawdza wszystkie. OnPush tylko gdy input zmieni się - szybciej;Change Detection to deprecated mechanizm;Zone.js jest Change Detection;1
Jak zmienić strategię Change Detection na OnPush?;changeDetectionStrategy: 'onPush' w tsconfig;changeDetection: ChangeDetectionStrategy.OnPush w @Component. Sprawdza tylko gdy @Input zmieni lub event. Data immutable. Best practice dla performance;OnPush jest deprecated, używaj Default;@OnPush decorator nad klasą;1
Jak ręcznie wyzwolić Change Detection?;changeDetection.run() w komponencie;this.cdr.detectChanges(); lub markForCheck(); w OnPush. detectChanges tylko ten komponent, markForCheck przy następnym cycle. Inject ChangeDetectorRef;Angular.detectChanges() jako globalna funkcja;Nie można ręcznie wyzwolić, to automatyczne;1
Czy mogę mieć wiele dyrektyw strukturalnych na elemencie?;Tak dowolną ilość;Nie - tylko jedna dyrektywa strukturalna (ngIf, ngFor, ngSwitch). Mogę z regular directive. Dla dwóch: zagnieżdź ng-container: <ng-container *ngIf><div *ngFor></ng-container>;Od Angular 14 można wiele;Dyrektywy strukturalne są deprecated;1
Co to jest async pipe i jak go używać?;async pipe to deprecated feature;{{ observable | async }} automatycznie subscribe i unsubscribe przy zniszczeniu. Jeśli wielokrotnie użyty, wiele subskrypcji - lepiej shareReplay;async pipe działa tylko dla Promise nie Observable;pipe async() jako metoda na Observable;1
