Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czym jest słowo kluczowe static i jakie są przypadki jego użycia?;Modyfikator static oznacza że zmienna jest automatycznie niemutowalna oraz thread-safe w środowisku wielowątkowym Java;static na polu: pole należy do klasy nie obiektu. static na metodzie: metoda należy do klasy. static na bloku: wykonywany raz przy ładowaniu klasy;Słowo kluczowe static może być używane wyłącznie w kontekście klas wewnętrznych (inner classes) dla oznaczenia static nested classes;Modyfikator static oznacza że metoda może być bezpośrednio wywołana przez JVM bez potrzeby kompilacji bytecode;1
Czym jest klasa abstrakcyjna?;Klasa abstrakcyjna to specjalna klasa która nie zawiera żadnych metod w swojej definicji, posiada tylko pola danych;Klasa abstrakcyjna może być bezpośrednio instancjonowana za pomocą new ale utworzone obiekty są puste bez funkcjonalności;Klasa abstrakcyjna nie może być instancjonowana. Definiuje interfejs dla podklas. Może zawierać metody abstrakcyjne i konkretne;Klasa abstrakcyjna to poprzednia nazwa dla interfejsu która była używana w Java 7 przed refactoring terminology;2
Czym jest interfejs?;Interfejs to specjalny rodzaj klasy abstrakcyjnej która nie może posiadać konstruktorów ani pól instancji w swojej definicji;Interfejs definiuje kontrakt który klasy muszą spełniać. Zawiera deklaracje metod (do Java 8). Od Java 8 może zawierać domyślne metody;Interfejs to specjalny rodzaj enumeracji wprowadzony w Java 5 wraz z generics jako część JSR-14;Interfejs to ograniczony typ klasy która może zawierać wyłącznie metody statyczne bez żadnych metod instancyjnych;1
Jakie są różnice między klasą abstrakcyjną a interfejsem?;Nie ma żadnych różnic semantycznych ani technicznych, interfejs to jedynie synonim klasy abstrakcyjnej w ekosystemie Java;Interfejs może posiadać konstruktory parametryzowane i bezparametrowe, klasa abstrakcyjna nie może w ogóle mieć konstruktorów;Klasa abstrakcyjna: może mieć konstruktory, pola instancji, metody private. Interfejs: metody publiczne, pola public static final. Klasa rozszerza jedną, implementuje wiele interfejsów;Klasa abstrakcyjna może być normalnie instancjonowana operatorem new, interfejs nigdy nie może być instancjonowany;2
Co to jest this?;Słowo kluczowe this odnosi się do poprzedniego obiektu w hierarchii dziedziczenia zgodnie z kolejnością wywołań konstruktorów;Słowo this to specjalne statyczne pole automatycznie zawierające referencję do metadanych bieżącej klasy w runtime;this odnosi się do bieżącego obiektu. Używane do odróżnienia pól klasy od parametrów metod o tej samej nazwie;Słowo this to specjalny operator porównania obiektów działający podobnie do == ale służący do porównywania referencji;2
Co to jest super?;Słowo kluczowe super odnosi się do klasy nadrzędnej superklasy w hierarchii pakietów Java zgodnie z package structure;Słowo super to specjalna metoda wykonująca głębokie kopiowanie całego stanu z klasy nadrzędnej do klasy potomnej;super odnosi się do klasy nadrzędnej (parent class). Używane do wywoływania metod lub konstruktora klasy nadrzędnej;Słowo super to globalna zmienna statyczna automatycznie przechowująca fully qualified name klasy bazowej jako String;2
Jak wywołać konstruktor klasy bazowej?;super(args); Musi być pierwszą instrukcją w konstruktorze podklasy;base(args); używając słowa kluczowego base zamiast super zgodnie z konwencją nazewnictwa podobną do C#;parent.constructor(args); bezpośrednio wywołując metodę o nazwie constructor na referencji parent do klasy nadrzędnej;new super(args); poprzez utworzenie nowej instancji superklasy za pomocą operatora new z odpowiednimi argumentami;0
Jaka jest kolejność wywołania konstruktorów w dziedziczeniu?;Najpierw wykonywany jest konstruktor podklasy potomnej, a dopiero później konstruktor klasy nadrzędnej rodzica;Wszystkie konstruktory w hierarchii dziedziczenia są wywoływane równolegle w oddzielnych wątkach dla optymalizacji wydajności;Najpierw konstruktor klasy nadrzędnej, następnie konstruktor podklasy. Java automatycznie wywoła domyślny konstruktor nadrzędnej jeśli nie wywołano jawnie;Kolejność wywołania konstruktorów zależy wyłącznie od poziomu modyfikatora dostępu każdego konstruktora (public, protected, private);2
Czym są metody abstrakcyjne?;Metody abstrakcyjne to metody które zawsze automatycznie rzucają wyjątek AbstractMethodException gdy są wywoływane w runtime;Metody abstrakcyjne nie mają implementacji. Muszą być implementowane przez podklasy. Mogą istnieć tylko w klasach abstrakcyjnych lub interfejsach;Metody abstrakcyjne to metody oznaczone adnotacją @Abstract i są opcjonalne do implementacji w klasach potomnych;Metody abstrakcyjne to przestarzałe metody które zostały usunięte ale zachowano ich sygnaturę dla backward compatibility;1
Czym są metody domyślne?;Metody domyślne to specjalne konstruktory bezparametrowe które mogą być definiowane wewnątrz interfejsów od Java 8;Metody domyślne to metody z modyfikatorem dostępu private które są używane wyłącznie wewnątrz klas abstrakcyjnych;Metody domyślne w interfejsach (od Java 8) mają implementację. Podklasy mogą je nadpisać lub użyć domyślnej;Metody domyślne to fallback methods które są automatycznie wywoływane gdy nie ma innej pasującej przeciążonej metody;2
Czy możliwe jest wielodziedziczenie w Javie?;Tak, klasa może swobodnie dziedziczyć z wielu klas jednocześnie używając składni extends A, B, C;Nie, klasa może dziedziczyć tylko z jednej klasy. Jednak może implementować wiele interfejsów;Wielodziedziczenie klas stało się w pełni możliwe od Java 8 poprzez mechanizm default methods w interfejsach;Tak, wielodziedziczenie jest możliwe ale wyłącznie dla klas abstrakcyjnych, zwykłe klasy konkretne nie mogą;1
Jak rozwiązać diamond problem w wielodziedziczeniu interfejsów?;Java kompilator w ogóle nie pozwala na implementację dwóch interfejsów posiadających metodę z identyczną sygnaturą;Diamond problem strukturalnie nie istnieje w Java dzięki specjalnym mechanizmom JVM zapobiegającym konfliktom w runtime;Java obsługuje wielodziedziczenie interfejsów. Jeśli dwa interfejsy mają tę samą metodę domyślną, podklasa musi jawnie nadpisać lub wybrać którą dziedziczyć;Kompilator Java automatycznie wybiera implementację metody z interfejsu który został zdefiniowany jako pierwszy na liście;2
Jak nadpisać metody w klasach potomnych?;Należy używać adnotacji @Overwrite zamiast @Override dla lepszej semantyki i jasności intencji developera;Metody są automatycznie nadpisywane przez kompilator jeśli posiadają identyczną nazwę bez względu na sygnaturę;Używając adnotacji @Override. Metoda w podklasie musi mieć tę samą sygnaturę co w klasie nadrzędnej;Nadpisywanie metod (override) jest całkowicie niedozwolone w Java, możliwe jest tylko przeciążanie (overload);2
Jaka jest różnica między modyfikatorami dostępu?;Wszystkie modyfikatory dostępu działają funkcjonalnie identycznie, różnią się tylko nazwą dla celów dokumentacji kodu;private: tylko w klasie. package private (brak): w pakiecie. protected: w pakiecie i podklasach. public: wszędzie;protected to najbardziej restrykcyjny modyfikator dostępu, a private jest najmniej restrykcyjny spośród wszystkich;package private oznacza pełny dostęp z wszystkich różnych pakietów ale żaden dostęp z podklas dziedziczących;1
Czy metody statyczne można dziedziczyć?;Tak, metody statyczne są w pełni dziedziczone i mogą być normalnie nadpisywane jak wszystkie inne metody instancyjne;Nie w tradycyjnym sensie. Metody statyczne są ukrywane nie nadpisywane (method hiding). Podklasa może mieć statyczną o tej samej nazwie ale to nie jest overriding;Metody statyczne w ogóle nie mogą występować w definicjach podklas ze względu na ograniczenia kompilatora;Tylko metody statyczne oznaczone modyfikatorem final mogą być prawidłowo dziedziczone przez klasy potomne;1
Czy interfejs może mieć metody statyczne?;Nie, interfejsy mogą zawierać wyłącznie metody instancyjne zarówno abstrakcyjne jak i domyślne zgodnie z JLS;Tak, od Java 8 interfejsy mogą mieć metody statyczne. Są publiczne domyślnie i nie mogą być nadpisywane;Metody statyczne w interfejsach są możliwe tylko w sealed interfaces wprowadzonych w Java 15 jako preview feature;Interfejsy zgodnie z definicją mogą posiadać tylko metody abstrakcyjne, metody statyczne są całkowicie niedozwolone;1
Jak działają typy zapieczętowane (sealed)?;Sealed classes są automatycznie traktowane jako final i w żadnym wypadku nie mogą posiadać żadnych klas podrzędnych;Sealed to przestarzała deprecated nazwa dla final classes która była używana w wczesnych wersjach Java 1.0;Sealed classes (Java 15+) ograniczają które klasy mogą je rozszerzać. Słowo kluczowe: sealed permits SubclassA, SubclassB;Sealed classes to specjalny typ klas które nie mogą w ogóle zawierać żadnych publicznych metod w swojej definicji;2
