Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Na czym polegają operacje intermediate?;Intermediate operations kończą stream;Intermediate operations zwracają stream i mogą być połączone. Przykład: filter(), map(), flatMap(), distinct(), sorted();Intermediate to tylko map() i filter();Intermediate operations są deprecated;1
Czym jest monada? Podaj przykład w Javie.;Monada to pattern z functional programming bez implementacji w Java;Monada to struktura która opakowuje wartość i dostarcza operacje. Optional<T> jest monadą. Operacje: flatMap (bind), map;Monada to interfejs z pakietu java.util.monad;Monada to tylko teoretyczny koncept;1
Na czym polegają operacje terminal?;Terminal operations zwracają nowy stream;Terminal operations zwracają wynik lub efekt uboczny. Nie zwracają stream. Przykład: collect(), forEach(), reduce(), findFirst(), count();Terminal operations można łączyć w łańcuchy;Tylko collect() jest terminal operation;1
Czym jest funkcja wyższego rzędu? Podaj przykład.;Funkcja która działa szybciej przez optymalizację;Funkcja która przyjmuje funkcję jako argument lub zwraca funkcję. Przykład: Function<Integer, Integer> add = x -> y -> x + y;Funkcja z więcej niż 2 parametrami;Funkcja która zwraca void;1
Na czym polega optymalizacja stream-ów w Javie?;Optymalizacja przez użycie wielowątkowości zawsze;Lazy evaluation, short-circuiting (findFirst() nie przetworzy całego stream), fusion (kombinacja operacji);Optymalizacja przez cache'owanie wyników;Streamy nie są optymalizowane;1
Czym jest currying? Podaj przykład w Javie.;Currying to deprecated technika z Java 7;Currying to transformacja funkcji z wieloma argumentami w serię funkcji z jednym. Przykład: (x,y) -> x+y zostaje x -> y -> x+y;Currying to optymalizacja lambdów przez kompilator;Currying to sposób na obsługę wyjątków w lambda;1
Jak działa operacja filter?;filter(Predicate<T>): zwraca stream elementów spełniających predicate;filter() usuwa duplikaty ze streamu;filter() sortuje elementy według predykatu;filter() jest deprecated, używaj select();0
Jak działa operacja map?;map() łączy wiele streamów w jeden;map(Function<T,R>): transformuje każdy element z T na R. Zwraca stream<R>;map() tworzy Map<K,V> ze streamu;map() filtruje elementy według funkcji;1
Jak działa operacja flatMap?;flatMap() robi to samo co map() ale szybciej;flatMap(Function<T, Stream<R>>): mapuje każdy element na stream i łączy wyniki w jeden stream;flatMap() spłaszcza kolekcje do pojedynczych elementów;flatMap() jest tylko dla List<List<T>>;1
Czym się różnią operacje map oraz flatMap?;Nie ma różnicy, to synonimy;map: T -> R. flatMap: T -> Stream<R>, wynik jest spłaszczony. Użyj flatMap gdy transformacja tworzy stream;map dla primitive types, flatMap dla obiektów;flatMap jest deprecated;1
Na czym polega operacja reduce?;reduce() redukuje rozmiar streamu przez usuwanie elementów;reduce(BinaryOperator<T>): łączy elementy stream w jedną wartość. Przykład: stream.reduce((a,b) -> a+b);reduce() to przestarzała nazwa dla collect();reduce() działa tylko dla liczb;1
Czym są interfejsy Function oraz BiFunction?;Function to klasa abstrakcyjna nie interfejs;Function<T,R>: T -> R. BiFunction<T,U,R>: (T,U) -> R. Generyczne interfejsy do transformacji;Function i BiFunction są deprecated od Java 11;To klasy z pakietu java.util.function.impl;1
