Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Jaka jest idea kolejek w Javie?;Queue to LIFO (Last In First Out) struktura;Queue to struktura do sortowania elementów;Queue to FIFO (First In First Out) struktura. add/offer (insert), remove/poll (delete), element/peek (view);Queue to deprecated interfejs z Java 1.0;2
Jaka jest różnica między Queue<E> oraz Dequeue<E>?;Nie ma różnicy, Dequeue to typo;Queue: FIFO. Deque (Double Ended Queue): może działać jako FIFO lub LIFO. Operacje na obu końcach;Queue jest thread-safe, Deque nie jest;Dequeue to przestarzała nazwa dla PriorityQueue;1
Czym jest PriorityQueue<E>?;PriorityQueue to FIFO kolejka z priorytetami jako liczbami;PriorityQueue to kolejka gdzie elementy uporządkowane po priorytecie (Comparable lub Comparator). Min-heap domyślnie;PriorityQueue to thread-safe wersja Queue;PriorityQueue automatycznie sortuje alfabetycznie;1
Z jakich algorytmów korzysta kolejka priorytetowa?;Linked list z sortowaniem;Hash table z bucketing;Binary heap. Insert O(log n), deleteMin O(log n), peek O(1);Red-Black tree dla balance;2
Czym jest Set<E>? Jakie ma implementacje?;Set to kolekcja z duplikatami posortowana;Set to przestarzały interfejs z Java 1.0;Set to kolekcja bez duplikatów. HashSet, LinkedHashSet, TreeSet, EnumSet, CopyOnWriteArraySet;Set to tylko HashSet, reszta to legacy klasy;2
Jak zaimplementowany został HashSet<E>?;HashSet używa array list wewnętrznie;HashSet używa HashMap wewnętrznie. Elementy są kluczami, wartości to dummy object. O(1) average case;HashSet używa TreeMap dla sortowania;HashSet to proste wrapper na ArrayList;1
Jak zaimplementowany został TreeSet<E>?;TreeSet używa hash table z sortowaniem;TreeSet używa ArrayList posortowanego;TreeSet używa TreeMap (Red-Black tree) wewnętrznie. Elementy są kluczami. O(log n) operacje, sorted;TreeSet to wrapper na PriorityQueue;2
Czy mapa jest kolekcją?;Tak, Map extends Collection;Nie technicznie, ale jest częścią JCF. Map nie implementuje Collection, ma własny interfejs;Tak, ale tylko HashMap jest kolekcją;Map stała się kolekcją od Java 8;1
Jak działa HashMap<K,V>?;HashMap używa ArrayList z parami key-value;HashMap używa hash table. Klucze hashovane do bucket. Przy kolizjach: Java 8+ używa linked list, potem tree. O(1) average;HashMap używa binary tree dla wszystkich kluczy;HashMap to wrapper na Hashtable;1
Jak działa TreeMap<K,V>?;TreeMap używa hash table z sortowaniem;TreeMap używa ArrayList posortowanego;TreeMap to Red-Black tree. Klucze posortowane. O(log n) operacje;TreeMap używa heap structure;2
Jakie cechy powinien mieć dobry klucz w mapie?;Mutable i często zmieniany dla flexibility;Tylko String może być kluczem w HashMap;Immutable, prawidłowa implementacja equals() i hashCode(), hashCode() spójny z equals();Klucze muszą implementować Comparable zawsze;2
Czym jest load factor?;Load factor to liczba elementów w HashMap;Load factor to ratio size/capacity. Decyduje kiedy rehashować. Default 0.75 (balans między czasem a pamięcią);Load factor to maksymalny rozmiar HashMap;Load factor to deprecated parametr z Java 7;1
Jak posortować wybrane kolekcje?;list.sort() to jedyna metoda;Collections.sort(list), Collections.sort(list, comparator), Arrays.sort(array);Kolekcje sortują się automatycznie;Tylko TreeSet i TreeMap mogą być sortowane;1
Jakie algorytmy sortowania używane są w JCF?;Tylko Bubble sort dla prostoty;Quicksort (Arrays.sort dla arrays), Mergesort (Collections.sort), Timsort (Java 8+);Insertion sort dla wszystkich kolekcji;Heap sort jako jedyny algorytm od Java 8;1
Czym jest Collections?;Collections to interfejs bazowy dla wszystkich kolekcji;Collections to utility class z static metodami: sort(), shuffle(), reverse(), max(), min(), copy(), fill();Collections to przestarzała klasa z Java 1.0;Collections to synonim dla Collection;1
